message_name,msgtype,msgcat,field_number,field_name,field_type,required,position
Logout,5,admin,43,PossDupFlag,BOOLEAN,N,22
Logout,5,admin,97,PossResend,BOOLEAN,N,23
Logout,5,admin,52,SendingTime,UTCTIMESTAMP,Y,24
Logout,5,admin,122,OrigSendingTime,UTCTIMESTAMP,N,25
Logout,5,admin,212,XmlDataLen,LENGTH,N,26
Logout,5,admin,213,XmlData,DATA,N,27
Logout,5,admin,347,MessageEncoding,STRING,N,28
Logout,5,admin,369,LastMsgSeqNumProcessed,SEQNUM,N,29
Logout,5,admin,627,NoHops,GROUP,N,30
Logout,5,admin,628,HopCompID,STRING,N,31
Logout,5,admin,629,HopSendingTime,UTCTIMESTAMP,N,32
Logout,5,admin,630,HopRefID,SEQNUM,N,33
Logout,5,admin,1409,SessionStatus,INT,N,34
Logout,5,admin,58,Text,STRING,N,35
Logout,5,admin,354,EncodedTextLen,LENGTH,N,36
Logout,5,admin,355,EncodedText,DATA,N,37
Logout,5,admin,93,SignatureLength,LENGTH,N,38
Logout,5,admin,89,Signature,DATA,N,39
Logout,5,admin,10,CheckSum,STRING,Y,40
Reject,3,admin,8,BeginString,STRING,Y,1
Reject,3,admin,9,BodyLength,LENGTH,Y,2
Reject,3,admin,35,MsgType,STRING,Y,3
Reject,3,admin,1128,ApplVerID,STRING,N,4
Reject,3,admin,1156,ApplExtID,INT,N,5
Reject,3,admin,1129,CstmApplVerID,STRING,N,6
Reject,3,admin,49,SenderCompID,STRING,Y,7
Reject,3,admin,56,TargetCompID,STRING,Y,8
Reject,3,admin,115,OnBehalfOfCompID,STRING,N,9
Reject,3,admin,128,DeliverToCompID,STRING,N,10
Reject,3,admin,90,SecureDataLen,LENGTH,N,11
Reject,3,admin,91,SecureData,DATA,N,12
Reject,3,admin,34,MsgSeqNum,SEQNUM,Y,13
Reject,3,admin,50,SenderSubID,STRING,N,14
Reject,3,admin,142,SenderLocationID,STRING,N,15
Reject,3,admin,57,TargetSubID,STRING,N,16
Reject,3,admin,143,TargetLocationID,STRING,N,17
Reject,3,admin,116,OnBehalfOfSubID,STRING,N,18
Reject,3,admin,144,OnBehalfOfLocationID,STRING,N,19
Reject,3,admin,129,DeliverToSubID,STRING,N,20
Reject,3,admin,145,DeliverToLocationID,STRING,N,21
Reject,3,admin,43,PossDupFlag,BOOLEAN,N,22
Reject,3,admin,97,PossResend,BOOLEAN,N,23
Reject,3,admin,52,SendingTime,UTCTIMESTAMP,Y,24
Reject,3,admin,122,OrigSendingTime,UTCTIMESTAMP,N,25
Reject,3,admin,212,XmlDataLen,LENGTH,N,26
Reject,3,admin,213,XmlData,DATA,N,27
Reject,3,admin,347,MessageEncoding,STRING,N,28
Reject,3,admin,369,LastMsgSeqNumProcessed,SEQNUM,N,29
Reject,3,admin,627,NoHops,GROUP,N,30
Reject,3,admin,628,HopCompID,STRING,N,31
Reject,3,admin,629,HopSendingTime,UTCTIMESTAMP,N,32
Reject,3,admin,630,HopRefID,SEQNUM,N,33
Reject,3,admin,45,RefSeqNum,SEQNUM,Y,34
Reject,3,admin,371,RefTagID,INT,N,35
Reject,3,admin,372,RefMsgType,STRING,N,36
Reject,3,admin,1130,RefApplVerID,STRING,N,37
Reject,3,admin,1406,RefApplExtID,INT,N,38
Reject,3,admin,1131,RefCstmApplVerID,STRING,N,39
Reject,3,admin,373,SessionRejectReason,INT,N,40
Reject,3,admin,58,Text,STRING,N,41
Reject,3,admin,354,EncodedTextLen,LENGTH,N,42
Reject,3,admin,355,EncodedText,DATA,N,43
Reject,3,admin,93,SignatureLength,LENGTH,N,44
Reject,3,admin,89,Signature,DATA,N,45
Reject,3,admin,10,CheckSum,STRING,Y,46
ResendRequest,2,admin,8,BeginString,STRING,Y,1
ResendRequest,2,admin,9,BodyLength,LENGTH,Y,2
ResendRequest,2,admin,35,MsgType,STRING,Y,3
ResendRequest,2,admin,1128,ApplVerID,STRING,N,4
ResendRequest,2,admin,1156,ApplExtID,INT,N,5
ResendRequest,2,admin,1129,CstmApplVerID,STRING,N,6
ResendRequest,2,admin,49,SenderCompID,STRING,Y,7
ResendRequest,2,admin,56,TargetCompID,STRING,Y,8
ResendRequest,2,admin,115,OnBehalfOfCompID,STRING,N,9
ResendRequest,2,admin,128,DeliverToCompID,STRING,N,10
ResendRequest,2,admin,90,SecureDataLen,LENGTH,N,11
ResendRequest,2,admin,91,SecureData,DATA,N,12
ResendRequest,2,admin,34,MsgSeqNum,SEQNUM,Y,13
ResendRequest,2,admin,50,SenderSubID,STRING,N,14
ResendRequest,2,admin,142,SenderLocationID,STRING,N,15
ResendRequest,2,admin,57,TargetSubID,STRING,N,16
ResendRequest,2,admin,143,TargetLocationID,STRING,N,17
ResendRequest,2,admin,116,OnBehalfOfSubID,STRING,N,18
ResendRequest,2,admin,144,OnBehalfOfLocationID,STRING,N,19
