component_name,field_number,field_name,field_type,required,component_path
UnderlyingInstrument,43080,UnderlyingSettlMethodElectionDateOffsetUnit,STRING,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingSettlMethodElectionDate
UnderlyingInstrument,43081,UnderlyingSettlMethodElectionDateOffsetDayType,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingSettlMethodElectionDate
UnderlyingInstrument,43082,UnderlyingSettlMethodElectionDateAdjusted,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingSettlMethodElectionDate
UnderlyingInstrument,41822,UnderlyingOptionExerciseBusinessDayConvention,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41820,NoUnderlyingOptionExerciseBusinessCenters,GROUP,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates/UnderlyingOptionExerciseBusinessCenterGrp
UnderlyingInstrument,41821,UnderlyingOptionExerciseBusinessCenter,STRING,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates/UnderlyingOptionExerciseBusinessCenterGrp/NoUnderlyingOptionExerciseBusinessCenters
UnderlyingInstrument,41841,NoUnderlyingOptionExerciseDates,GROUP,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates/UnderlyingOptionExerciseDateGrp
UnderlyingInstrument,41842,UnderlyingOptionExerciseDate,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates/UnderlyingOptionExerciseDateGrp/NoUnderlyingOptionExerciseDates
UnderlyingInstrument,41843,UnderlyingOptionExerciseDateType,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates/UnderlyingOptionExerciseDateGrp/NoUnderlyingOptionExerciseDates
UnderlyingInstrument,41823,UnderlyingOptionExerciseEarliestDateOffsetDayType,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41824,UnderlyingOptionExerciseEarliestDateOffsetPeriod,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41825,UnderlyingOptionExerciseEarliestDateOffsetUnit,STRING,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41826,UnderlyingOptionExerciseFrequencyPeriod,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41827,UnderlyingOptionExerciseFrequencyUnit,STRING,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41828,UnderlyingOptionExerciseStartDateUnadjusted,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41829,UnderlyingOptionExerciseStartDateRelativeTo,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41830,UnderlyingOptionExerciseStartDateOffsetPeriod,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41831,UnderlyingOptionExerciseStartDateOffsetUnit,STRING,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41832,UnderlyingOptionExerciseStartDateOffsetDayType,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41833,UnderlyingOptionExerciseStartDateAdjusted,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41834,UnderlyingOptionExerciseSkip,INT,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41835,UnderlyingOptionExerciseNominationDeadline,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41836,UnderlyingOptionExerciseFirstDateUnadjusted,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41837,UnderlyingOptionExerciseLastDateUnadjusted,LOCALMKTDATE,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
UnderlyingInstrument,41838,UnderlyingOptionExerciseEarliestTime,LOCALMKTTIME,N,UnderlyingInstrument/UnderlyingOptionExercise/UnderlyingOptionExerciseDates
